Team,Week,Opponent,Score,Outcome
SaquonDeese,1,"you won't, but Drake Maye",122.38,W
SaquonDeese,2,Naberhood Watch,90.84,L
SaquonDeese,3,White Corners Klub,109.94,L
SaquonDeese,4,Hurts So Good,132.9,W
SaquonDeese,5,Team Beil,126.8,W
SaquonDeese,6,Tyler's Football Team,101.12,L
SaquonDeese,7,Jacks Backs,95.64,L
SaquonDeese,8,GriddyThemTiddies,154.06,W
SaquonDeese,9,Glock Purdy,70.94,L
SaquonDeese,10,Montgomery Beer,107.02,W
SaquonDeese,11,Philip's Perfect Team,70.6,L
SaquonDeese,12,"you won't, but Drake Maye",128.76,L
SaquonDeese,13,Naberhood Watch,79.7,L
SaquonDeese,14,White Corners Klub,89.6,L
Hurts So Good,1,Naberhood Watch,103.76,L
Hurts So Good,2,White Corners Klub,130.7,W
Hurts So Good,3,Team Beil,152.32,W
Hurts So Good,4,SaquonDeese,100.38,L
Hurts So Good,5,Tyler's Football Team,116.52,W
Hurts So Good,6,Jacks Backs,61.72,L
Hurts So Good,7,GriddyThemTiddies,164.54,W
Hurts So Good,8,Glock Purdy,93.8,L
Hurts So Good,9,Montgomery Beer,95.56,L
Hurts So Good,10,Philip's Perfect Team,156.04,W
Hurts So Good,11,"you won't, but Drake Maye",98.62,L
Hurts So Good,12,Naberhood Watch,106.82,W
Hurts So Good,13,White Corners Klub,95.64,L
Hurts So Good,14,Team Beil,121.26,W
"you won't, but Drake Maye",1,SaquonDeese,105.58,L
"you won't, but Drake Maye",2,Tyler's Football Team,132.2,W
"you won't, but Drake Maye",3,Jacks Backs,110.22,L
"you won't, but Drake Maye",4,GriddyThemTiddies,143.12,W
"you won't, but Drake Maye",5,Glock Purdy,110.12,L
"you won't, but Drake Maye",6,Montgomery Beer,106.94,W
"you won't, but Drake Maye",7,Philip's Perfect Team,119.98,L
"you won't, but Drake Maye",8,Team Beil,170.98,W
"you won't, but Drake Maye",9,Naberhood Watch,128.36,W
"you won't, but Drake Maye",10,White Corners Klub,92.2,L
"you won't, but Drake Maye",11,Hurts So Good,123.14,W
"you won't, but Drake Maye",12,SaquonDeese,166.06,W
"you won't, but Drake Maye",13,Tyler's Football Team,129.78,L
"you won't, but Drake Maye",14,Jacks Backs,139.96,W
Philip's Perfect Team,1,Tyler's Football Team,125.68,W
Philip's Perfect Team,2,Jacks Backs,96.28,L
Philip's Perfect Team,3,GriddyThemTiddies,124.8,L
Philip's Perfect Team,4,Glock Purdy,135.72,W
Philip's Perfect Team,5,Montgomery Beer,170.64,W
Philip's Perfect Team,6,Team Beil,109.16,L
Philip's Perfect Team,7,"you won't, but Drake Maye",164.4,W
Philip's Perfect Team,8,Naberhood Watch,116.84,W
Philip's Perfect Team,9,White Corners Klub,170.1,W
Philip's Perfect Team,10,Hurts So Good,105.8,L
Philip's Perfect Team,11,SaquonDeese,126.74,W
Philip's Perfect Team,12,Tyler's Football Team,138.02,L
Philip's Perfect Team,13,Jacks Backs,74.04,L
Philip's Perfect Team,14,GriddyThemTiddies,134.56,W
Glock Purdy,1,GriddyThemTiddies,98.52,L
Glock Purdy,2,Team Beil,110.04,L
Glock Purdy,3,Montgomery Beer,137.42,W
Glock Purdy,4,Philip's Perfect Team,127.28,L
Glock Purdy,5,"you won't, but Drake Maye",129.28,W
Glock Purdy,6,Naberhood Watch,82.8,L
Glock Purdy,7,White Corners Klub,97.42,L
Glock Purdy,8,Hurts So Good,108.88,W
Glock Purdy,9,SaquonDeese,110.68,W
Glock Purdy,10,Tyler's Football Team,126.6,W
Glock Purdy,11,Jacks Backs,118.8,W
Glock Purdy,12,GriddyThemTiddies,114.72,W
Glock Purdy,13,Team Beil,111.54,W
Glock Purdy,14,Montgomery Beer,134.16,W
Team Beil,1,White Corners Klub,85.62,L
Team Beil,2,Glock Purdy,134.6,W
Team Beil,3,Hurts So Good,114.64,L
Team Beil,4,Montgomery Beer,161.96,W
Team Beil,5,SaquonDeese,126.68,L
Team Beil,6,Philip's Perfect Team,135.34,W
Team Beil,7,Tyler's Football Team,95.64,L
Team Beil,8,"you won't, but Drake Maye",78.72,L
Team Beil,9,Jacks Backs,127.8,W
Team Beil,10,Naberhood Watch,113.28,L
Team Beil,11,GriddyThemTiddies,131.12,W
Team Beil,12,White Corners Klub,153.76,W
Team Beil,13,Glock Purdy,91.0,L
Team Beil,14,Hurts So Good,98.14,L
Naberhood Watch,1,Hurts So Good,114.72,W
Naberhood Watch,2,SaquonDeese,151.3,W
Naberhood Watch,3,Tyler's Football Team,60.06,L
Naberhood Watch,4,Jacks Backs,92.4,L
Naberhood Watch,5,GriddyThemTiddies,113.6,L
Naberhood Watch,6,Glock Purdy,89.0,W
Naberhood Watch,7,Montgomery Beer,103.8,W
Naberhood Watch,8,Philip's Perfect Team,104.92,L
Naberhood Watch,9,"you won't, but Drake Maye",98.76,L
Naberhood Watch,10,Team Beil,133.62,W
Naberhood Watch,11,White Corners Klub,43.66,L
Naberhood Watch,12,Hurts So Good,86.86,L
Naberhood Watch,13,SaquonDeese,92.92,W
Naberhood Watch,14,Tyler's Football Team,68.66,L
Tyler's Football Team,1,Philip's Perfect Team,96.52,L
Tyler's Football Team,2,"you won't, but Drake Maye",96.68,L
Tyler's Football Team,3,Naberhood Watch,95.86,W
Tyler's Football Team,4,White Corners Klub,71.2,L
Tyler's Football Team,5,Hurts So Good,83.42,L
Tyler's Football Team,6,SaquonDeese,137.88,W
Tyler's Football Team,7,Team Beil,107.24,W
Tyler's Football Team,8,Jacks Backs,135.76,W
Tyler's Football Team,9,GriddyThemTiddies,71.8,L
Tyler's Football Team,10,Glock Purdy,68.2,L
Tyler's Football Team,11,Montgomery Beer,126.44,W
Tyler's Football Team,12,Philip's Perfect Team,140.68,W
Tyler's Football Team,13,"you won't, but Drake Maye",138.94,W
Tyler's Football Team,14,Naberhood Watch,112.4,W
GriddyThemTiddies,1,Glock Purdy,134.8,W
GriddyThemTiddies,2,Montgomery Beer,118.28,L
GriddyThemTiddies,3,Philip's Perfect Team,144.52,W
GriddyThemTiddies,4,"you won't, but Drake Maye",117.68,L
GriddyThemTiddies,5,Naberhood Watch,122.36,W
GriddyThemTiddies,6,White Corners Klub,82.34,L
GriddyThemTiddies,7,Hurts So Good,108.48,L
GriddyThemTiddies,8,SaquonDeese,119.7,L
GriddyThemTiddies,9,Tyler's Football Team,137.74,W
GriddyThemTiddies,10,Jacks Backs,136.6,W
GriddyThemTiddies,11,Team Beil,108.72,L
GriddyThemTiddies,12,Glock Purdy,95.42,L
GriddyThemTiddies,13,Montgomery Beer,107.72,L
GriddyThemTiddies,14,Philip's Perfect Team,104.94,L
Montgomery Beer,1,Jacks Backs,94.48,W
Montgomery Beer,2,GriddyThemTiddies,135.8,W
Montgomery Beer,3,Glock Purdy,111.02,L
Montgomery Beer,4,Team Beil,112.26,L
Montgomery Beer,5,Philip's Perfect Team,131.98,L
Montgomery Beer,6,"you won't, but Drake Maye",101.16,L
Montgomery Beer,7,Naberhood Watch,87.56,L
Montgomery Beer,8,White Corners Klub,113.38,W
Montgomery Beer,9,Hurts So Good,96.22,W
Montgomery Beer,10,SaquonDeese,84.74,L
Montgomery Beer,11,Tyler's Football Team,105.46,L
Montgomery Beer,12,Jacks Backs,102.86,L
Montgomery Beer,13,GriddyThemTiddies,125.66,W
Montgomery Beer,14,Glock Purdy,111.86,L
White Corners Klub,1,Team Beil,136.56,W
White Corners Klub,2,Hurts So Good,115.32,L
White Corners Klub,3,SaquonDeese,114.72,W
White Corners Klub,4,Tyler's Football Team,124.66,W
White Corners Klub,5,Jacks Backs,97.22,L
White Corners Klub,6,GriddyThemTiddies,133.2,W
White Corners Klub,7,Glock Purdy,138.44,W
White Corners Klub,8,Montgomery Beer,102.62,L
White Corners Klub,9,Philip's Perfect Team,107.52,L
